#separator:tab
#html:false
tätig	active, working, engaged, employed	[ˈtɛːtɪç]	(schwach) Er ist ein tätiger Mensch.  (stark) Sie führt ein tätiges Leben.  (gemischt) Wir helfen den tätigen Mitarbeitern.  (Steigerung Komparativ) Er ist tätiger als sein Kollege.  (Steigerung Superlativ) Sie ist am tätigsten im Team.  (mit Präposition als + Nom) Er ist als Arzt tätig.  (mit Präposition bei + Dat) Sie ist bei einer Firma tätig.  (mit Präposition in + Dat) Ich bin in der Bildung tätig.  (mit Präposition für + Akk) Er ist für eine NGO tätig.  (mit Präposition mit + Dat) Sie ist mit Kindern tätig.  (mit Präposition seit + Dat) Ich bin seit 2010 hier tätig.			
der Ingenieur	engineer (male)	[ɪnʒɛˈni̯øːɐ̯]	Ingenieure	Der Ingenieur entwarf die neue Brücke.  Viele Ingenieure arbeiten in der Automobilindustrie.  Die Arbeit des Ingenieurs ist sehr anspruchsvoll.  Wir suchen erfahrene Ingenieure für das Projekt.		
der Mechatroniker	mechatronics technician (male), mechatronics engineer (male)	[mɛçaˈtʁoːnɪkɐ]	Mechatroniker	Der Mechatroniker repariert die Industrieroboter.  Viele Mechatroniker sind in der Automobilbranche beschäftigt.  Die Ausbildung des Mechatronikers dauert dreieinhalb Jahre.  Wir benötigen qualifizierte Mechatroniker für die Wartung.		
der Schauspieler	actor	[ˈʃaʊ̯ˌʃpiːlɐ]	Schauspieler	Der Schauspieler spielt die Hauptrolle.  Viele Schauspieler arbeiten am Theater.  Die Karriere des Schauspielers begann früh.  Wir haben berühmte Schauspieler im Film gesehen.		
der Student	university student (male)	[ʃtuˈdɛnt]	Studenten	Der Student studiert an der Universität.  Viele Studenten wohnen in Wohnheimen.  Das Zimmer des Studenten ist klein.  Die Bibliothek ist voll mit Studenten.		
der Journalist	journalist (male)	[ʒʊʁnaˈlɪst]	Journalisten	Der Journalist arbeitet für eine Nachrichtenagentur.  Viele Journalisten berichten live vom Ereignisort.  Die Recherche des Journalisten dauerte mehrere Wochen.  Wir haben bekannte Journalisten zur Diskussion eingeladen.		
der Friseur	hairdresser (male), barber (male)	[fʁiˈzøːɐ̯]	Friseure	Der Friseur schneidet mir die Haare.  Viele Friseure bieten auch Bartpflege an.  Der Salon des Friseurs ist modern eingerichtet.  Ich gehe morgen zum Friseur.		
der Architekt	architect (male)	[aʁçiˈtɛkt]	Architekten	Der Architekt entwirft das neue Gebäude.  Viele Architekten spezialisieren sich auf nachhaltiges Bauen.  Die Pläne des Architekten sind sehr detailliert.  Wir konsultieren mehrere Architekten für unser Projekt.		
der Historiker	historian (male)	[hɪsˈtoːʁɪkɐ]	Historiker	Der Historiker forscht über das Mittelalter.  Viele Historiker arbeiten an Universitäten.  Die Veröffentlichung des Historikers wurde preisgekrönt.  Wir laden bekannte Historiker zum Vortrag ein.		
der Arzt	doctor (male), physician (male)	[aʁtst]	Ärzte	Der Arzt untersucht den Patienten.  Viele Ärzte arbeiten im Krankenhaus.  Die Praxis des Arztes ist gut besucht.  Ich habe morgen einen Termin beim Arzt.		
geschieden	divorced	[ɡəˈʃiːdən]	(schwach) Sie ist eine geschiedene Frau.  (stark) Er lebt ein geschiedenes Leben.  (gemischt) Wir trafen uns mit geschiedenen Eltern.  (mit Präposition von + Dat) Sie ist seit 2020 von ihm geschieden.  (mit Präposition von + Dat) Er ist von seiner Frau geschieden.			
verheiratet	married	[fɛɐ̯ˈhaɪ̯ʁaːtət]	(schwach) Sie ist eine verheiratete Frau.  (stark) Er führt ein verheiratetes Leben.  (gemischt) Wir kennen viele verheiratete Paare.  (mit Präposition mit + Dat) Sie ist mit einem Arzt verheiratet.  (mit Präposition mit + Dat) Er ist seit 2015 verheiratet.  (mit Präposition seit + Dat) Sie sind seit zehn Jahren verheiratet.			
zusammen	together, jointly, collectively	[t͡suˈzamən]	(modaladverbien) Wir arbeiten zusammen an dem Projekt.  (modaladverbien) Die Familie isst zusammen zu Abend.  (temporaladverbien) Lasst uns die Aufgabe zusammen erledigen.  (modaladverbien) Sie sind schon seit Jahren zusammen.  (modaladverbien) Wir müssen diese Entscheidung zusammen treffen.			
allein	alone, by oneself, only, solely	[aˈlaɪ̯n]	(modaladverbien) Ich wohne allein in dieser Wohnung.  (modaladverbien) Das Kind spielt allein im Garten.  (temporaladverbien) Sie reiste allein durch Europa.  (gradadverbien) Allein der Gedanke daran macht mir Angst.  (gradadverbien) Das kostet allein schon 100 Euro.			
ledig	single, unmarried	[ˈleːdɪç]	(schwach) Er ist ein lediger Mann.  (stark) Sie führt ein lediges Leben.  (gemischt) Wir trafen mehrere ledige Gäste auf der Party.  (mit Präposition ohne + Akk) Er bleibt ledig ohne feste Bindung.			
der Sekretär	secretary (male)	[zekʁeˈtɛːɐ̯]	Sekretäre	Der Sekretär organisiert die Termine des Chefs.  Viele Sekretäre beherrschen mehrere Sprachen.  Die Arbeit des Sekretärs ist anspruchsvoll.  Im Büro stehen moderne Sekretäre.		
der Lehrer	teacher (male), instructor (male)	[ˈleːʁɐ]	Lehrer	Der Lehrer erklärt die Mathematikaufgabe.  Viele Lehrer arbeiten an öffentlichen Schulen.  Die Methode des Lehrers ist sehr effektiv.  Wir haben engagierte Lehrer an unserer Schule.		
der Verkäufer	salesman, shop assistant (male)	[fɛɐ̯ˈkɔɪ̯fɐ]	Verkäufer	Der Verkäufer berät den Kunden kompetent.  Viele Verkäufer arbeiten im Einzelhandel.  Die Leistung des Verkäufers wurde ausgezeichnet.  Wir haben freundliche Verkäufer in diesem Geschäft.		
der Kellner	waiter	[ˈkɛlnɐ]	Kellner	Der Kellner bringt die Bestellung an den Tisch.  Viele Kellner arbeiten in Restaurants und Cafés.  Die Freundlichkeit des Kellners beeinflusst das Trinkgeld.  Wir hatten einen sehr aufmerksamen Kellner heute Abend.		
getrennt	separated, divided, split, detached	[ɡəˈtʁɛnt]	(schwach) Sie leben in getrennten Wohnungen.  (stark) Das führt zu getrennten Entwicklungen.  (gemischt) Wir trafen getrennte Absprachen.  (mit Präposition von + Dat) Er ist getrennt von seiner Frau.  (mit Präposition nach + Dat) Die Gruppen sind getrennt nach Alter.  (mit Präposition durch + Akk) Die Räume sind getrennt durch eine Wand.			
die Zahl	number, figure, numeral	[tsaːl]	Zahlen	Die Zahl der Teilnehmer ist begrenzt.  Viele Zahlen in der Statistik sind aussagekräftig.  Die Genauigkeit der Zahl ist wichtig für die Berechnung.  Wir verwenden verschiedene Zahlen im Mathematikunterricht.		
zu	too, excessively	[tsuː]	(Gradadverbien) Das Wasser ist zu kalt zum Schwimmen.  (Gradadverbien) Der Koffer ist zu schwer, ich kann ihn nicht tragen.  (Gradadverbien) Er fährt zu schnell, das ist gefährlich.  (Gradadverbien) Das Essen ist zu scharf für mich.			
die Seite	page, side	[ˈzaɪ̯tə]	Seiten	Die Seite des Buches ist beschrieben.  Viele Seiten in diesem Roman sind spannend.  Die linke Seite der Straße ist gesperrt.  Wir blättern die Seiten des Magazins durch.		
alt	old, ancient, aged	[alt]	(schwach) Der alte Mann spaziert im Park.  (stark) Sie hat einen alten Freund getroffen.  (gemischt) Wir helfen den alten Menschen.  (Steigerung Komparativ) Mein Bruder ist älter als ich.  (Steigerung Superlativ) Sie ist die älteste in der Familie.  (mit Präposition von + Dat) Das Gebäude ist alt von Bauart.  (mit Präposition an + Dat) Er ist alt an Erfahrung.  (mit Präposition für + Akk) Sie ist alt für ihr Alter.  (mit Präposition mit + Dat) Das ist alt mit 100 Jahren.			
das Alter	age, old age, elderly person	[ˈaltɐ]	Alter	Das Alter des Baumes ist unbekannt.  Verschiedene Alter haben unterschiedliche Bedürfnisse.  Die Weisheit des Alters ist wertvoll.  Wir respektieren das Alter in unserer Gesellschaft.		
der Wohnort	place of residence, hometown, domicile	[ˈvoːnˌʔɔʁt]	Wohnorte	Der Wohnort des Kunden ist in Berlin.  Viele Menschen wechseln ihre Wohnorte im Leben.  Die Entfernung des Wohnorts zur Arbeit ist wichtig.  Wir haben Teilnehmer aus verschiedenen Wohnorten.		
die Herkunft	origin, place of birth, nationality, background, descent	[ˈheːɐ̯kʊnft]	Herkünfte	Die Herkunft des Antragstellers ist Deutschland. (Formular)  Auf dem Formular muss ich meine Herkunft angeben.  Verschiedene Herkünfte der Mitarbeiter bereichern unser Team.  Die Herkunft der Lebensmittel wird genau dokumentiert.  Die Herkunft meines Vaters ist Österreich.		
der Arbeitgeber	employer (male)	[ˈaʁbaɪ̯tˌɡeːbɐ]	Arbeitgeber	Der Arbeitgeber zahlt das Gehalt am Monatsende.  Viele Arbeitgeber bieten betriebliche Altersvorsorge an.  Die Verantwortung des Arbeitgebers ist im Vertrag festgelegt.  Wir haben verschiedene Arbeitgeber in der Branche befragt.		
ander	other, different, else	[ˈandɐ]	(schwach) Der andere Mann wartet draußen.  (stark) Ich habe andere Pläne.  (gemischt) Wir helfen anderen Menschen.  (stark) Das ist ein anderes Buch.  (mit Präposition als + Nom) Er arbeitet anders als andere.  (mit Präposition außer + Dat) Alle außer anderen Kollegen sind da.  (mit Präposition neben + Dat) Neben anderen Aufgaben muss ich das erledigen.			
die Mutter	mother, mom, mum	[ˈmʊtɐ]	Mütter	Meine Mutter kocht sehr gut.  Viele Mütter arbeiten heute berufstätig.  Das Auto der Mutter steht in der Garage.  Die Mütter warten vor der Schule auf ihre Kinder.		
der Vater	father, dad	[ˈfaːtɐ]	Väter	Mein Vater arbeitet als Ingenieur.  Viele Väter nehmen heute Elternzeit.  Das Auto des Vaters ist neu.  Die Väter spielen mit ihren Kindern im Park.		
geben	to give	 [ˈɡeːbən]	haben + gegeben	Kannst du mir das Buch geben?  Er gibt ihr einen Blumenstrauß.  Gebt bitte acht!		
der Apfel	apple	[ˈap͡fl̩]	Äpfel	Der Apfel ist rot und süß.  Ich esse jeden Tag zwei Äpfel.  Die Schale des Apfels ist glatt.  Im Herbst ernten wir viele Äpfel.		
der Freund	friend, boyfriend	[fʁɔɪ̯nt]	Freunde	Mein Freund besucht mich heute.  Wir treffen uns mit alten Freunden.  Das Auto des Freundes ist kaputt.  Die Freunde spielen zusammen Fußball.		
sehen	to see	 [ˈzeːən]	haben + gesehen	Ich sehe einen Vogel.  Siehst du das auch?  Seht mal her!		
rennen	to run	 [ˈʁɛnən]	sein + gerannt	Die Kinder rennen im Park.  Rennst du um die Wette?  Rennt nicht so schnell!		
helfen	to help	 [ˈhɛlfən]	haben + geholfen	Kann ich dir helfen?  Er hilft seiner Mutter.  Helft bitte den alten Menschen.		
können	can	 [ˈkœnən]	haben + gekonnt	Ich kann schwimmen.  Kannst du Deutsch sprechen?  Sie können das machen.		
der Garten	garden, yard	[ˈɡaʁtn̩]	Gärten	Der Garten ist sehr schön.  Wir haben viele Gärten in unserer Nachbarschaft.  Die Blumen des Gartens blühen im Frühling.  Die Kinder spielen in den Gärten.		
der Tisch	table, desk	[tɪʃ]	Tische	Der Tisch steht in der Küche.  Im Restaurant sind viele Tische frei.  Die Beine des Tisches sind stabil.  Wir stellen die Bücher auf die Tische.		
das Wasser	water	[ˈvasɐ]		Das Wasser ist kalt.  Ich trinke viel Wasser am Tag.  Die Qualität des Wassers ist sehr gut.  In Deutschland gibt es verschiedene Mineralwässer.		
legen	to lay	 [ˈleːɡən]	haben + gelegt	Leg das Buch auf den Tisch.  Sie legt sich hin.  Legt bitte die Karten weg.		
schlafen	to sleep	 [ˈʃlaːfən]	haben + geschlafen	Ich schlafe acht Stunden.  Schläft das Baby schon?  Schlaft gut!		
stark	strong, powerful, intense	[ʃtaʁk]	(schwach) Er ist ein starker Mann.  (stark) Das ist eine starke Leistung.  (gemischt) Wir helfen den starken Athleten.  (Steigerung Komparativ) Sie ist stärker als ihr Bruder.  (Steigerung Superlativ) Er ist am stärksten im Team.  (mit Präposition an + Dat) Sie ist stark an Willenskraft.  (mit Präposition in + Dat) Er ist stark in Mathematik.  (mit Präposition von + Dat) Das Material ist stark von Qualität.  (mit Präposition gegen + Akk) Das Medikament ist stark gegen Schmerzen.			
schwach	weak, faint, poor	[ʃvax]	(schwach) Sie ist eine schwache Person.  (stark) Das ist ein schwaches Argument.  (gemischt) Wir unterstützen die schwachen Schüler.  (Steigerung Komparativ) Er ist schwächer geworden.  (Steigerung Superlativ) Das ist am schwächsten entwickelt.  (mit Präposition an + Dat) Er ist schwach an Energie.  (mit Präposition in + Dat) Sie ist schwach in Rechtschreibung.  (mit Präposition von + Dat) Der Kaffee ist schwach von Aroma.  (mit Präposition gegen + Akk) Das Mittel ist schwach gegen Bakterien.			
die Großmutter	grandmother, grandma	[ˈɡʁoːsˌmʊtɐ]	Großmütter	Meine Großmutter backt leckeren Kuchen.  Viele Großmütter kümmern sich um ihre Enkelkinder.  Das Haus der Großmutter ist alt.  Die Großmütter treffen sich im Park.		
der Großvater	grandfather, grandpa	[ˈɡʁoːsˌfaːtɐ]	Großväter	Mein Großvater erzählt interessante Geschichten.  Viele Großväter gehen mit ihren Enkeln angeln.  Das Auto des Großvaters ist alt.  Die Großväter spielen Schach im Park.		
zuhören	to listen	 [ˈt͡suːˌhøːʁən]	haben + zugehört	Hör bitte zu!  Er hört der Musik zu.  Hört mir genau zu!		
die Geschichte	history, story, tale	[ɡəˈʃɪçtə]	Geschichten	Die Geschichte des Landes ist interessant.  Er erzählt spannende Geschichten.  Das Ende der Geschichte ist traurig.  Kinder lieben Märchengeschichten.		
müssen	must	 [ˈmʏsən]	haben + gemusst	Ich muss gehen.  Musst du heute arbeiten?  Sie müssen das Formular ausfüllen.		
kaufen	to buy	 [ˈkaʊ̯fən]	haben + gekauft	Ich kaufe Brot.  Kaufst du das Auto?  Kauft bitte Milch ein.		
die Schwester	sister	[ˈʃvɛstɐ]	Schwestern	Meine Schwester ist jünger als ich.  Viele Schwestern arbeiten im Krankenhaus.  Das Zimmer der Schwester ist groß.  Die Schwestern treffen sich regelmäßig.		
der Bruder	brother	[ˈbʁuːdɐ]	Brüder	Mein Bruder studiert Medizin.  Die Brüder spielen zusammen Fußball.  Das Auto des Bruders ist schnell.  Viele Brüder streiten sich manchmal.		
von	from, of, by	[fɔn]	Used to indicate origin, possession, or the agent in passive constructions; always governs Dativ.   For periods of time with both a start and an end point, used in combination with bis (e.g., von Montag bis Freitag = from Monday to Friday).   Contraction: von + dem → vom	(lokal) Das Paket kommt von einem Freund.  (temporal) Sie arbeitet von Montag bis Freitag.  (kausal) Er ist müde von der langen Reise.  (modal) Der Brief wurde von Hand geschrieben.  Das Geschenk ist von meiner Freundin.  Er kommt gerade von der Arbeit.  Das Buch wurde von Goethe geschrieben.		
für	for	[fyːɐ̯]	Used with nouns (people, objects, activities) to indicate purpose, benefit, or target/goal; cannot be used directly with infinitive verbs.	(final) Das Geschenk ist für dich.  (kausal) Er wurde für seine Leistungen belohnt.  (neutral) Sie hält ihn für einen Experten.		
vor	in front of, before, due to	[foːɐ̯]	Used to indicate a time before something (temporal), a position in front of something (spatial), or origin/source/protection (e.g., schützen vor).	(lokal) Das Auto parkt vor dem Gebäude.  (temporal) Du solltest dich vor der Reise ausruhen.  (kausal) Sein Gesicht war rot vor Scham.		
